Temp,Humd,Label
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
23.0,43.0,1.0
24.0,43.0,1.0
24.0,43.0,1.0
24.0,43.0,1.0
24.0,43.0,1.0
24.0,52.0,1.0
24.0,53.0,1.0
24.0,58.0,1.0
24.0,59.0,1.0
24.0,59.0,1.0
24.0,59.0,1.0
24.0,59.0,1.0
24.0,59.0,1.0
24.0,59.0,1.0
25.0,59.0,1.0
25.0,58.0,1.0
25.0,56.0,1.0
25.0,56.0,1.0
25.0,55.0,1.0
25.0,55.0,1.0
25.0,54.0,1.0
25.0,54.0,1.0
25.0,54.0,1.0
25.0,54.0,1.0
25.0,54.0,1.0
25.0,53.0,1.0
25.0,53.0,1.0
25.0,52.0,1.0
25.0,52.0,1.0
25.0,51.0,1.0
25.0,51.0,1.0
25.0,50.0,1.0
25.0,49.0,1.0
25.0,49.0,1.0
25.0,49.0,1.0
25.0,49.0,1.0
25.0,48.0,1.0
25.0,48.0,1.0
25.0,48.0,1.0
25.0,47.0,1.0
25.0,47.0,1.0
25.0,47.0,1.0
25.0,47.0,1.0
25.0,47.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,45.0,1.0
25.0,45.0,1.0
25.0,45.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
25.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,42.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
26.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,41.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
25.0,44.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,46.0,1.0
25.0,45.0,1.0
25.0,45.0,1.0
26.0,45.0,1.0
26.0,45.0,1.0
26.0,45.0,1.0
26.0,45.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,44.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,43.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
26.0,42.0,1.0
